disease_name,pathogen,symptoms,development,hosts_distribution,importance,treatments
Leaf Rust (Brown Rust),Puccinia recondita,"The pustules are circular or slightly elliptical, smaller than those of stem rust, usually do not coalesce, and contain masses of orange to orange-brown urediospores. Infection sites primarily are found on the upper surfaces of leaves and leaf sheaths (1 ), and occasionally on the neck and awns.","Primary infections usually are light and develop from wind-borne urediospores that may have travelled long distances. The disease can develop rapidly when free moisture is available and temperatures are near 20°C. Successive generations of urediospores can be produced every 10-1 4 days if conditions are favorable. As plants mature or when environmental conditions are not favorable, masses of black teliospores may become evident (2).","Leaf rust can affect wheat, triticale and many other related grasses. The disease is found w.herever temperate cereals are grown. The alternate hosts are Thalictrum, Isopryum, Anemonella, and Anchusa spp.","Severe early infections can cause significant yield losses, mainly by reducing the number of kernels per spike, test weights, and kernel quality.",Use resistant cultivars; Apply fungicides such as propiconazole or tebuconazole at early infection stages; Practice crop rotation; Remove alternate hosts
Stem Rust (Black Rust),Puccinia graminis f .sp. rritici,"Pustules (containing masses of urediospores) are dark reddish brown, and may occur on both sides of the leaves, on the stems, and on the spikes (3). With light infections the pustules are usually separate and scattered, but with heavy infections they may coalesce. Prior to pustule formation, ""flecks"" may appear. Before the spore masses break through the epidermis, the infection sites feel rough to the touch; as the spore masses break through, the surface tissues take on a ragged and torn appearance.","Primary infections are usually light and develop from wind-borne urediospores that may have travelled long distances. The disease can develop rapidly when free moisture (rain or dew) and moderate temperatures prevail. If temperatures average about 20°C or more, the first generation of urediospores will be produced in 10-1 5 days. As plants mature, masses of black teliospores may be produced.","Stem rust can affect wheat, barley, triticale, and many other related grasses; it is found wherever temperate cereals are grown. The alternate hosts are Berberis and Mahonia spp.","If infection occurs during the early crop stages, the effects can be severe: reductions in tillering and losses in grain weight and quality. Under favorable conditions,,complete crop loss can occur.",Plant resistant varieties; Apply fungicides like propiconazole or azoxystrobin; Remove alternate hosts (Berberis and Mahonia spp.); Early detection and treatment
Stripe Rust (Yellow Rust),Puccinia striiformis,"The pustules of stripe rust, which. contain yellow to orange-yellow urediospores, usually form narrow stripes on the leaves (4). Pustules also can be found on leaf sheaths, necks, and glumes (5).","Primary infections are caused by wind-borne urediospores that may have travelled long distances. The disease may develop rapidly when free moisture (rain or dew) occurs and temperatures range between 1 0-20°C. At temperatures above 25OC, the production of urediospores is reduced or ceases and black teliospores are often produced (6).","Stripe rust can attack wheat, barley, triticale, and many other related grasses. The disease is found in all highland and/or temperate areas where cereals are grown. No alternate host is known.","Severe infections can cause yield losses, mainly by reducing the number of kernels per spike, test weights, and kernel quality.",Use resistant cultivars; Apply fungicides such as tebuconazole or propiconazole; Monitor early in season; Practice crop rotation
Common and Dwarf Bunt (Stinking Smut),"Tilletia caries, T. foetida, T. controversa","The main symptoms caused by these three species are fungal structures called ""bunt balls,"" which resemble kernels but are completely filled with black teliospores. The bunt balls of common bunt, caused by T. caries and T. foetida, are about the same size and shape as the kernels they replace (7); those of dwarf bunt, caused by T. controversa, are more nearly spherical (8). When bunt balls are crushed, they give off a fetid or fishy odor. Infected spikes tend to be bluish green in color (or darker), and the glumes tend to spread apart slightly; the bunt balls often become visible after the soft dough stage (9, 10; page 11 ). A slight reduction in plant height is typical of common bunt, while a pronounced reduction in height is typical of dwarf bunt.","Spores lying dormant in the soil or on seed germinate and infect emerging seedlings. Infection is favored by cool temperatures during germination. The disease develops systemically, with visible symptoms appearing after heading. (continued)","Wheat and (less commonly). triticale are affected by these diseases, as are several other related grasses. Common and dwarf bunts can occur worldwide. Both are limited to temperate climates; dwarf bunt occurs in areas having prolonged snow cover.",Considerable yield losses can occur when susceptible cultivars are grown or chemical seed treatments are not used.,"Use certified seed treated with fungicides (carboxin, thiram, or tebuconazole); Plant resistant varieties; Rotate crops; Avoid planting in cool, wet conditions"
Karnal Bunt (Partial Bunt),Tilletia indica (sy n. Neovossia indica),"Karnal bunt is not easily detected prior to harvest, since it is usual for only a few kernels per spike to be affected by the disease. Following harvest, diseased kernels can be easily detected by visual inspection: a mass of black teliospores replaces a portion of the endosperm, and the pericarp may be intact or ruptured (1 1). Diseased kernels give off a fetid or fishy odor when crushed.","Karnal bunt is a seed- or soil-borne, floral infecting disease. lnoculum (teliospores) on or near the soil surface germinates, producing sporidia, which are carried by wind to the floral structures. These sporidia in turn germinate and penetrate the glumes, rachis, or the ovary itself. The fungus enters the newly formed kernel and develops in the intercellular space between the endosperm and seed coat. The degree of disease establishment and development depends on environmental conditions from spike emergence through grain filling.","Karnal bunt can affect wheat, triticale, rye, and several other related grasses, but not barley. The disease is endemic in the Asian Subcontinent and now in Mexico.","Karnal bunt is a relatively minor disease. Actual losses in yield are minimal, but the disease is on the quarantine lists of many countries and therefore of importance in world grain trade.",
Loose Smut,Ustilago tritici,"The entire inflorescence, except the rachis, is replaced by masses of smut spores (1 2). These black teliospores often are blown away by the wind, leaving only the bare rachis and remnants of other floral structures (1 3).","Wind blown teliospores that land on the flowers of wheat plants can germinate and infect the developing embryo of the kernel. The mycelium of the loose smut fungus remains dormant in the embryonic tissues of the kernel until the kernel begins to germinate. The mycelium then develops along with the growing point of the plant, and at flowering time replaces the floral parts of the spike with masses of black spores. Infection and disease development are favored by cool, humid conditions, which prolong the flowering period of the host plant.",The disease can occur wherever wheat is grown.,Yield losses depend on the number of spikes affected by the disease; incidence is usually less than one percent and rarely exceeds thirty percent of the spikes in any given location.,Use certified seed treated with systemic fungicides (carboxin or tebuconazole); Hot water treatment of seed; Plant resistant varieties
Flag Smut,Uroc ystis agrop yri,"Masses of black teliospores are produced in narrow strips just beneath the epidermis of leaves, leaf sheaths and occasionally the culms. Diseased plants often are stunted, tiller profusely and the spikes may not emerge. A severe infection usually induces the leaves to roll, producing an onion-type leaf appearance. The epidermis of older diseased plants tends to shred, releasing the teliospores (1 4).","Germinating kernels or very young seedlings are infected by germinating spores on the seed or in the soil. The disease continues to develop systemically, and the black subepidermal strips of teliospores become visible near heading. Infection is favored by low soil moisture and cool soil temperatures.","Bread wheats are the primary hosts of flag smut fungi, and the isolates attacking bread wheat tend to do so exclusively. There are few reports of flag smut on durum wheats and triticales. The disease is found in most winter wheat areas and in cool, fall-sown spring wheat areas.","Flag smut generally is not an economically important disease, but where present, yield losses can range from trace amounts to moderate levels (when susceptible cultivars are grown).",
Powdery Mildew,Erysiphe grarninis f. sp. tritici,"On all hosts, the first visible i symptoms of this disease are white to pale gray, fuzzy or powdery colonies of mycelia, and conidia on the upper surfaces of leaves and leaf sheaths (especially on lower leaves) (1 51, and sometimes on the spikes. Older fungal tissue is yellowish gray (16). This superficial fungal material can be rubbed off easily with the fingers. Host tissue beneath the fungal material becomes chlorotic or necrotic and, with severe infections, the leaves may die. Eventually, black spherical fruiting structures (cleistothecia) mav develoo in the mvcelia. and . can be seen without magnification. '","The development of powdery mildew is favored by cool (1 5-22OC), cloudy, and humid (75-100% relative humidity) conditions.","The fungus has a high degree of host specificity. Isolates infecting wheat do so exclusively; the same appears to be true for isolates infecting barley, oats, and rye. Further specialization exists in the form of races. Powdery mildew occurs worldwide in cool, humid, and semiarid areas where cereals are grown.",Powdery mildew can cause major yield losses if infection occurs early in the crop cycle and conditions remain favorable for development so that high infection levels are reached before heading.,"Apply fungicides such as propiconazole, tebuconazole, or azoxystrobin; Use resistant cultivars; Avoid excessive nitrogen fertilization; Improve air circulation"
Septoria Diseases,"Septoria Tritici Blotch; Mycosphaerella graminicola (Septoria tritici); Septoria Nodorum Blotch; Leptosphaeria nodorum (S. nodorum); Septoria Avenae Blotch; Leptosphaeria avenaria f .sp. triticea; (S. avenae; f.s~, triticea)","Initial infection sites tend to be irregular in shape, oval to elongated chlorotic spots or lesions. As these sites expand, the centers of the lesions become pale, straw colored, and slightly necrotic, often with numerous small black dots (pycnidia) (1 7). The lesions of septoria tritici blotch tend to be linear and restricted laterally (1 81, while those of septoria nodorum blotch (1 9; page 23) and septoria avenae blotch are more lens shaped. All above ground plant parts can be affected. Light infection produces only scattered lesions, but heavy infection can kill leaves, spikes (20 is S. nodorum; page 231, or even the entire plant. Identification of species in the field can be difficult, and microscopic examination is often necessary. (continued)","Initial infections tend to be on the lower leaves, progressing to the upper leaves and spikes if environmental conditions remain favorable. Cool temperatures (lo0-1 5OC) and prolonged wet, cloudy weather favors the development of these diseases.","These are primarily diseases of wheat, but other cereals are somewhat susceptible. The diseases are limited to temperate wheat-growing areas where cool and moist conditions prevail.","Major losses can occur, through seed shrivelling and lower test weights, if these diseases reach severe levels prior to harvest.","Apply fungicides like propiconazole, tebuconazole, or azoxystrobin; Use resistant varieties; Practice crop rotation; Remove crop debris"
Helminthosporium Leaf Blotch (Spot Blotch),"Cochliobolus sativus; (Helminthosporium sativum); Syn. Bipolaris sorokiniana, Drechslera sorokiniana","Lesions caused by this disease are elongated to oval in shape and are generally a dark brown color. As lesions mature, the centers often turn a light brown to tan color, surrounded by an irregular dark brown ring (21 on leaf; 22 on spike).","Primary infections tend to be on the lower leaves, beginning as chlorotic flecks or spots. These infection sites enlarge, turn dark brown, and often coalesce. When the disease is severe, affected leaves or leaf sheaths may die prematurely.","Spot blotch affects wheat, triticale, barley, and most grasses. It is found worldwide, but is especially prevalent in more humid and higher rainfall areas.","If infection occurs early in the crop cycle and conditions remain favorable for development, complete defoliation is possible; major reductions in yield and severely shrivelled kernels will then result.",
